,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
0,1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,fa326503b5cd4b7866a96619953a0ade,Loaded Servicing Stack <*> with Core: <*>.dll
1,2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),463c9619b333ea46d43f3b862cedcb1d,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
2,3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),463c9619b333ea46d43f3b862cedcb1d,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
3,4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),463c9619b333ea46d43f3b862cedcb1d,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>)
4,5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,2d8b5399455f907fb95d68f575490e51,Ending TrustedInstaller initialization.
5,6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,ddb7024583a5dc50b27d2b8c288e98c0,Starting the TrustedInstaller main loop.
6,7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,70236f55ac264429aafcca9c3e139de0,TrustedInstaller service starts successfully.
7,8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,492269e4d829033f610a40c8b72f7620,SQM: Initializing online with Windows opt-in: False
8,9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,88c7a286173b613ff5ed403240c81aba,SQM: Cleaning up report files older than 10 days.
9,10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,7e5b16175b8fed069f9726171b76478f,SQM: Requesting upload of all unsent reports.
10,11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",a6900023f491e9b71f77d99de43e9535,"SQM: Failed to start upload with file pattern: <*>:\<*>sqm, flags: <*> [HRESULT = <*> - E_FAIL]"
11,12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],ef6d06df43356ad917e9136ec3877b98,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL]
12,13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",35fa2e8b7b7b032ad3fbb2f4fc51b6ba,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
13,14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],545e1d3e22728fbc033c97a603fad6ea,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL]
14,15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",6342ae857bca51af087b6281e9ea056c,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
15,16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,b756d24a13e42aa3b93c5220a4bc5b78,NonStart: Checking to ensure startup processing was not required.
16,17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",c54c543f65949f1915e619768b231c4b,"<*> I<*>Install<*>AwareStore<*>ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, <*>Disposition = <*>"
17,18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",6d4567fc855715543c8ba3d90c0e9a9e,"<*> Creating NT transaction (seq <*>), objectname [<*>]<*>)"""
18,19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",9d46d5b041dd1b0e341e9b0c5c7e9326,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
19,20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,0d5fb9ff3ad145f4df56eeda75ef2085,<*> CSI perf trace:
20,21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.",c7e0e0821cd59388edd0248e9e93a00e,"NonStart: Success, startup processing not required as expected."
21,22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,0249909fac08434afb035714b0ad3e0b,Startup processing thread terminated normally
22,23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,0a16f43547e86810ffa61863c1eb55d3,<*> CSI Store <*> (<*>) initialized
23,24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,08fb5d73c849446d7ae9bb100902c945,Session: <*> initialized by client WindowsUpdateAgent.
24,25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,08fb5d73c849446d7ae9bb100902c945,Session: <*> initialized by client WindowsUpdateAgent.
25,26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
26,27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
27,28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
28,29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
29,30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
30,31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
31,32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
32,33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
33,34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
34,35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
35,36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
36,37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
37,38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
38,39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
39,40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],9bd9f24365217745a340d3cb5ad1e0c2,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
40,41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],0044564b80473f3111f8ab54ec040c51,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
41,42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,39b783c847142143dfe229135128cc25,Warning: Unrecognized packageExtended attribute.
